trial,value,lasso_alpha,catboost_iterations,catboost_learning_rate,catboost_depth,catboost_l2_leaf_reg,ensemble_lasso_weight,cv_rmse_log_mean,cv_rmse_log_std,oof_rmse_log,oof_mae_price,oof_rmse_price,oof_mape_percent,oof_wape_percent
23,0.10904062959306607,0.0004933467709897344,900,0.014980831791779408,7,3.5336009096687597,0.5950527956783488,0.10904062959306607,0.00711430581566943,0.109277121990611,12991.77245238912,20246.39828355103,7.60669628245792,7.1804359976985515
24,0.11340628358746645,0.0016478029338238324,1100,0.013532883946481606,6,7.876119498065166,0.6018449599825937,0.11340628358746645,0.008750366696562581,0.11374774560313328,13539.18199154706,20829.242658102503,7.951020659183956,7.482984335491401
25,0.10928121507449054,0.0005052809137695123,900,0.023504479202246006,7,4.683139943899504,0.7426920809293066,0.10928121507449054,0.006934825412056843,0.10950542855239961,13011.392088080078,19900.527722255432,7.663886345724978,7.1912795942049845
26,0.10927048963676038,0.0005709899953330764,900,0.022485162127323814,7,2.3480767434545506,0.7591939053887404,0.10927048963676038,0.006886757311537873,0.10949162727897986,12978.713911667004,19838.56819202699,7.66471837954215,7.1732186594776035
27,0.1110977043453748,0.0010177463006718712,900,0.01531669655009026,7,2.4348685081296035,0.7644024375148635,0.1110977043453748,0.007542842377411258,0.11135801836059639,13207.76624312147,20185.92752947657,7.802144653005019,7.299813826700532
28,0.11043785101834476,0.0004476912442677317,1100,0.021512568703879575,7,1.4624209878624848,0.893806757052676,0.11043785101834476,0.006597964396935566,0.11063903117469259,13187.917065405443,20035.752252118673,7.790952236334473,7.288843364377613
29,0.11572025285503973,0.0035577825509349368,1100,0.01814448259732014,7,3.297083783092105,0.6741319033538844,0.11572025285503973,0.009537910013829209,0.11611755149495638,13952.609505108492,21279.80843678411,8.176005804845051,7.711482010592661
30,0.11219593717901374,0.0007854245256515163,900,0.015956478372451118,7,2.302756539286326,0.990395775771403,0.11219593717901374,0.006910678108312645,0.11241269020927176,13536.025984539616,20484.99779352087,7.9856183096704765,7.481240038752193
31,0.11307171512158065,0.00148361663444941,900,0.024542148786830267,7,3.687335472739997,0.7780588160733984,0.11307171512158065,0.008921992480416476,0.11342791915587612,13421.129435866504,20439.823418183114,7.949772998328155,7.417737747811742
32,0.1090739883213913,0.00045957887486399807,1000,0.02150774892320771,7,3.212673941349933,0.7236067101595591,0.1090739883213913,0.0068414831196814355,0.1092925911187485,12942.52364009468,19888.584215130795,7.622774081236409,7.1532166212863775
33,0.10883547177394988,0.000370299840579571,1000,0.020500209651075962,7,2.929037541623625,0.6454631511182838,0.10883547177394988,0.0067442131347476,0.10904823209896157,12859.853497870216,20003.05190294997,7.558437200023668,7.107525575869842
34,0.10941561518743273,0.00017877891048144638,1100,0.019555928648730257,7,3.028581318146424,0.6083824233599724,0.10941561518743273,0.0068308042919046725,0.10963256721666091,12881.720901390867,20210.917498960684,7.5797071791184445,7.119611493475874
35,0.11012328777400641,0.00019259489144878838,1000,0.0140487572802236,7,3.670462498975775,0.692368757823168,0.11012328777400641,0.006499524218644145,0.11031918275971295,12988.724221042203,20160.670246499274,7.6550306604388485,7.178751267599336
36,0.11047581772385814,0.00034779677815919554,1000,0.018116783296643867,6,3.1240135562770766,0.8381135310959451,0.11047581772385814,0.006230846844909299,0.11065505152298345,13105.02452136707,20005.09074216592,7.73909823556896,7.243029399475195
37,0.11212201164334376,0.0006962268794534848,1200,0.028394756458863583,7,0.9757786559710198,0.08912422690953947,0.11212201164334376,0.007893237233268164,0.11240208654083333,13452.88254374209,22381.81725568911,7.7339619474251515,7.435287405463477
38,0.1123635166816885,9.769635060607203e-05,1000,0.02044460784325527,3,0.5893528728772216,0.3040204041557675,0.1123635166816885,0.006705346270158003,0.11256740958813581,13375.595911897048,21562.174508985845,7.732532592577705,7.392571777901899
39,0.1122475094513494,0.0013106949742263403,1100,0.01128784179537838,7,5.70925656285846,0.4543953978775348,0.1122475094513494,0.008339633038672594,0.11256127576219711,13509.877416893032,21247.690985292338,7.8517234831807405,7.46678796016893
